Period,Variant,Ticker,CAGR %,MaxDD %,Sharpe,WinRate %,ProfitFactor,Trades
Bull market (8y),Baseline (no ADX),SPY,1.19,-10.87,0.26,50.0,1.78,14
Bull market (8y),ADX-filtered,SPY,0.51,-7.6,0.2,50.0,1.72,6
Bull market (8y),ADX-filtered + 1.5x leverage,SPY,0.76,-11.4,0.2,50.0,1.72,6
Bull market (8y),Vol-targeted sizing (2x max),SPY,0.81,-4.03,0.39,50.0,1.78,14
Bull market (8y),"Vol-targeted sizing, higher risk (2.5%, 2x max)",SPY,1.34,-6.87,0.39,50.0,1.78,14
Bull market (8y),Baseline (no ADX),QQQ,3.18,-9.12,0.48,62.5,2.44,16
Bull market (8y),ADX-filtered,QQQ,1.73,-10.54,0.32,60.0,1.93,10
Bull market (8y),ADX-filtered + 1.5x leverage,QQQ,2.42,-15.65,0.3,60.0,1.93,10
Bull market (8y),Vol-targeted sizing (2x max),QQQ,1.16,-3.49,0.5,62.5,2.44,16
Bull market (8y),"Vol-targeted sizing, higher risk (2.5%, 2x max)",QQQ,1.95,-5.91,0.49,62.5,2.44,16
Bull market (8y),Baseline (no ADX),AAPL,5.27,-14.87,0.61,44.4,2.76,18
Bull market (8y),ADX-filtered,AAPL,-0.3,-16.28,-0.05,30.8,0.95,13
Bull market (8y),ADX-filtered + 1.5x leverage,AAPL,-0.59,-23.58,-0.06,30.8,0.95,13
Bull market (8y),Vol-targeted sizing (2x max),AAPL,1.85,-5.44,0.62,44.4,2.76,18
Bull market (8y),"Vol-targeted sizing, higher risk (2.5%, 2x max)",AAPL,3.07,-8.87,0.61,44.4,2.76,18
Bull market (8y),Baseline (no ADX),MSFT,-0.8,-15.17,-0.11,40.0,0.8,15
Bull market (8y),ADX-filtered,MSFT,-1.24,-15.4,-0.31,25.0,0.08,4
Bull market (8y),ADX-filtered + 1.5x leverage,MSFT,-1.88,-22.27,-0.31,25.0,0.08,4
Bull market (8y),Vol-targeted sizing (2x max),MSFT,-0.25,-5.97,-0.11,40.0,0.8,15
Bull market (8y),"Vol-targeted sizing, higher risk (2.5%, 2x max)",MSFT,-0.36,-9.81,-0.09,40.0,0.8,15
2008 GFC,Baseline (no ADX),SPY,3.21,-4.86,0.41,75.0,4.49,4
2008 GFC,ADX-filtered,SPY,-0.95,-1.93,-0.81,0.0,0.0,1
2008 GFC,ADX-filtered + 1.5x leverage,SPY,-1.44,-2.9,-0.81,0.0,0.0,1
2008 GFC,Vol-targeted sizing (2x max),SPY,0.33,-1.88,0.14,75.0,4.49,4
2008 GFC,"Vol-targeted sizing, higher risk (2.5%, 2x max)",SPY,0.53,-3.15,0.13,75.0,4.49,4
2008 GFC,Baseline (no ADX),QQQ,3.17,-14.35,0.32,50.0,1.54,8
2008 GFC,ADX-filtered,QQQ,3.34,-14.06,0.37,50.0,1.76,6
2008 GFC,ADX-filtered + 1.5x leverage,QQQ,4.78,-20.37,0.35,50.0,1.76,6
2008 GFC,Vol-targeted sizing (2x max),QQQ,1.06,-5.35,0.31,50.0,1.54,8
2008 GFC,"Vol-targeted sizing, higher risk (2.5%, 2x max)",QQQ,1.73,-8.77,0.31,50.0,1.54,8
2008 GFC,Baseline (no ADX),AAPL,1.23,-25.0,0.09,40.0,1.28,5
2008 GFC,ADX-filtered,AAPL,-2.86,-14.51,-0.33,50.0,0.25,2
2008 GFC,ADX-filtered + 1.5x leverage,AAPL,-4.38,-20.87,-0.34,50.0,0.25,2
2008 GFC,Vol-targeted sizing (2x max),AAPL,0.21,-5.57,0.08,40.0,1.28,5
2008 GFC,"Vol-targeted sizing, higher risk (2.5%, 2x max)",AAPL,0.29,-9.12,0.06,40.0,1.28,5
2008 GFC,Baseline (no ADX),MSFT,-3.63,-10.81,-0.33,40.0,0.36,5
2008 GFC,ADX-filtered,MSFT,-0.75,-7.89,-0.07,50.0,0.65,2
2008 GFC,ADX-filtered + 1.5x leverage,MSFT,-1.17,-11.27,-0.08,50.0,0.65,2
2008 GFC,Vol-targeted sizing (2x max),MSFT,-1.36,-3.67,-0.52,40.0,0.36,5
2008 GFC,"Vol-targeted sizing, higher risk (2.5%, 2x max)",MSFT,-2.27,-6.04,-0.53,40.0,0.36,5
2022 bear,Baseline (no ADX),SPY,-4.73,-6.62,-0.7,25.0,0.24,4
2022 bear,ADX-filtered,SPY,-5.34,-5.98,-1.39,0.0,0.0,2
2022 bear,ADX-filtered + 1.5x leverage,SPY,-8.0,-8.95,-1.42,0.0,0.0,2
2022 bear,Vol-targeted sizing (2x max),SPY,-2.06,-2.76,-0.76,25.0,0.24,4
2022 bear,"Vol-targeted sizing, higher risk (2.5%, 2x max)",SPY,-3.41,-4.58,-0.76,25.0,0.24,4
2022 bear,Baseline (no ADX),QQQ,-3.05,-8.71,-0.51,50.0,0.36,2
2022 bear,ADX-filtered,QQQ,-4.57,-4.52,-1.57,0.0,0.0,1
2022 bear,ADX-filtered + 1.5x leverage,QQQ,-6.99,-6.91,-1.6,0.0,0.0,1
2022 bear,Vol-targeted sizing (2x max),QQQ,-1.01,-2.71,-0.56,50.0,0.36,2
2022 bear,"Vol-targeted sizing, higher risk (2.5%, 2x max)",QQQ,-1.59,-4.55,-0.51,50.0,0.36,2
2022 bear,Baseline (no ADX),AAPL,5.07,-5.17,0.55,50.0,2.24,2
2022 bear,ADX-filtered,AAPL,-4.5,-4.72,-1.13,0.0,0.0,1
2022 bear,ADX-filtered + 1.5x leverage,AAPL,-6.78,-7.11,-1.15,0.0,0.0,1
2022 bear,Vol-targeted sizing (2x max),AAPL,1.54,-1.55,0.58,50.0,2.24,2
2022 bear,"Vol-targeted sizing, higher risk (2.5%, 2x max)",AAPL,2.42,-2.63,0.54,50.0,2.24,2
2022 bear,Baseline (no ADX),MSFT,-5.95,-7.01,-0.73,33.3,0.16,3
2022 bear,ADX-filtered,MSFT,-4.44,-4.39,-1.25,0.0,0.0,1
2022 bear,ADX-filtered + 1.5x leverage,MSFT,-6.59,-6.52,-1.27,0.0,0.0,1
2022 bear,Vol-targeted sizing (2x max),MSFT,-1.8,-1.89,-0.77,33.3,0.16,3
2022 bear,"Vol-targeted sizing, higher risk (2.5%, 2x max)",MSFT,-2.99,-3.25,-0.76,33.3,0.16,3
